Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
ZC3H15,uc002upo.2,163.6,254.1,293.9,4644,11969,10780
CDC37L1,uc003zio.2,14.9,18.9,21.8,336,713,631
RBM27,uc003lnz.3,24.4,33,38.2,1739,3905,3517
SRP72,uc003hbv.2,118.4,148.8,172.1,3305,7307,6464
SGTA,uc002lwi.1,154.3,159,183.9,3065,5455,4935
CCDC107,uc011lox.1,133.6,99.6,115.2,2364,3016,2748
RBM39,uc002xeb.2,199.8,216.2,250,3726,6966,6242
COPE,uc002nkk.2,386.6,405.4,468.8,7612,13728,12372
WDR77,uc001ebb.2,86.3,116.5,134.7,1860,4288,3893
TOMM7,uc003svk.2,382.2,411.1,475.2,1012,1915,1675
PSMD6,uc003dma.1,137.1,212.5,245.6,3505,9136,8215
EEF1E1,uc003mxz.2,112.4,174.3,201.4,833,2311,2007
PFDN1,uc003lff.1,110.9,138.3,159.8,533,1129,1019
SUPT5H,uc002olp.3,101,98.4,113.7,7109,11681,10735
TBC1D22B,uc003onn.2,9.8,9.1,10.5,330,500,459
DKK3,uc001mjv.2,605.2,538,621.5,13501,20602,18685
ARHGDIA,uc002kbq.2,456.3,378,436.6,5822,8114,7554
C1orf51,uc001euj.2,5.6,5.6,6.5,147,228,214
CDC123,uc001ill.2,82.3,121,139.8,1828,4496,4030
TMEM41B,uc001mhm.2,18.6,21.8,25.2,366,712,627
GATC,uc010szi.1,93.1,85.7,98.9,733,1213,1067
SFT2D2,uc001gfi.3,17.5,17,19.7,180,302,265
ERI3,uc001clt.2,96,106.8,123.2,2107,3906,3565
SLC39A8,uc003hwc.2,15.8,17.7,20.4,484,915,811
PPM1F,uc002zvp.1,54.5,46.3,53.4,1565,2310,2092
NOL10,uc002raq.2,49.4,70.2,81,2279,5389,4829
SPCS1,uc011bei.1,134.3,171.6,198,1454,3132,2815
CALM1,uc001xyl.1,392.7,403.5,465.5,1977,3629,3255
CCT8,uc002ynb.2,193.2,224.6,259.1,2966,5980,5358
NKX3-1,uc011kzx.1,13.3,11,12.7,196,288,254
SLC7A6,uc002evu.1,24.5,30.4,35,821,1771,1558
SOCS7,uc002hqa.2,5,3.5,4,188,221,203
C17orf59,uc010vut.1,13.3,7.2,8.3,296,283,253
APIP,uc001mvs.2,17.5,19.5,22.5,194,389,339
TPRG1L,uc001akm.2,45.5,27,31.1,773,790,718
PIAS3,uc001eoc.1,34.2,27.6,31.8,1417,1898,1727
ERO1L,uc001wzv.2,46.7,56.5,65.1,1453,2950,2621
SPTLC1,uc004arl.1,72,98.2,113.2,2192,5024,4452
EIF2AK4,uc001zkm.1,49.1,48.9,56.3,5419,8842,8090
HSPA5,uc004bpn.2,339.9,292.7,337.4,4645,7209,6409
ADIPOR1,uc001gyq.3,106.5,120.3,138.6,2279,4552,3974
UTP6,uc002hgr.2,53.3,75,86.4,1919,4659,4085
ARMC10,uc003vax.1,18.7,20.4,23.5,246,442,391
DNAJC22,uc001rua.2,14.2,9.8,11.3,320,357,332
RALB,uc002tmk.2,104.8,115.7,133.3,1398,2587,2330
MATR3,uc003ldx.2,155.8,163.3,188,5413,9719,8671
LOC100130776,uc001sps.3,48.4,32.8,37.7,814,954,864
RAP2C,uc004ewp.2,45.1,51.4,59.1,549,1012,915
NDUFAF1,uc001znx.2,31.7,34.7,39.9,641,1199,1068
KRAS,uc001rgp.1,14,14.1,16.3,159,274,242
TGFBR1,uc004azc.2,9.9,10,11.5,326,567,500
MEX3B,uc002bgq.1,11.8,4.6,5.3,431,292,261
ZNF593,uc001bll.3,79.4,96.3,110.9,650,1386,1240
none,uc011ebm.1,3,2.7,3.1,154,221,202
AES,uc002lxb.1,393.3,412,474.1,6355,11411,10193
SLC9A3R2,uc002coi.2,94.2,78.7,90.6,1998,2763,2621
HN1L,uc002cmg.2,140.9,128.7,148,1705,2635,2382
RPL8,uc003zec.2,2897.4,2286.8,2630.7,16591,22888,20914
SUGT1,uc001vhc.2,35.6,46.9,53.9,716,1588,1426
SUCLG1,uc002son.2,122,182.2,209.6,2775,7099,6230
ZNF330,uc003iiq.3,48.6,58.3,67,1012,2053,1839
N6AMT1,uc002ymo.1,10,9.3,10.6,129,202,187
SLC20A2,uc003xpe.2,28.7,34.1,39.2,1194,2477,2209
MLF1,uc003fcb.2,41.6,61.3,70.5,757,1868,1615
RAB35,uc001txm.1,101.8,113.4,130.4,1210,2296,2044
GNA11,uc002lxd.2,30.4,24.7,28.4,624,892,797
ANAPC16,uc001jsv.2,217.6,243.7,280.2,1520,2853,2547
COMMD8,uc003gxi.2,60.3,98.7,113.5,719,2028,1756
MAPKAPK3,uc003daz.1,107.7,99.7,114.6,2555,4009,3655
UGCG,uc004bft.2,237.9,261.4,300.5,6252,11862,10193
PRKAB1,uc001txg.2,50.4,46.7,53.7,880,1399,1239
TWIST2,uc010zny.1,21,17.6,20.3,201,293,269
TMEM164,uc004eom.2,12.1,8.5,9.8,243,272,248
KLHL9,uc003zoy.2,50.3,49.1,56.5,2031,3346,2943
KDELR2,uc003sqe.3,197.6,229.5,263.7,2708,5288,4689
TRAPPC5,uc002mhi.1,268.9,254.5,292.5,3126,5274,4652
SLC23A2,uc002wlh.1,16.4,16.7,19.2,717,1187,1081
PWP1,uc001tmo.1,147.3,206.7,237.5,4902,11551,10269
NUPL1,uc001uqi.2,49.4,70.3,80.8,1975,4691,4187
FNDC3A,uc001vcm.2,23.5,29.4,33.7,1912,3956,3513
ZEB2,uc002tvu.2,10.3,11,12.7,835,1466,1326
GPC1,uc002vyw.3,257.7,195.6,224.7,8990,12116,10816
SCAF1,uc002poq.2,42.5,29.4,33.7,3549,4199,3842
RFC2,uc003uaj.2,78.3,87.8,100.8,1769,3381,3030
SLC6A15,uc001szv.2,16.8,12,13.8,820,930,875
RAB6A,uc001oue.2,25.4,21.6,24.8,263,374,340
C3orf64,uc003dnk.2,6.4,7.5,8.6,191,364,330
TSPAN17,uc003met.2,111.5,106.8,122.6,2345,3888,3473
SAR1B,uc003kzr.2,85.4,169.2,194.2,1120,3734,3261
HUS1,uc003toe.1,24.5,35.8,41,459,1106,983
PDCD10,uc003fez.2,77.7,155.3,178.2,1050,3643,3121
NME6,uc003cso.2,32.4,27,31,405,560,510
ARMC8,uc003esa.1,18.9,25.3,29.1,805,1832,1609
FAM89B,uc001oel.2,121.6,84.3,96.7,1425,1687,1535
BSG,uc002loz.2,950.2,787.9,903.8,23215,33434,29932
ERLIN2,uc003xke.3,60.4,50.2,57.6,1333,1839,1676
KDELR1,uc002pjb.1,160.4,141.6,162.4,2190,3248,2892
NDUFB9,uc003yrg.3,380.9,444.8,510.2,2808,5862,5171
SF3B2,uc001ogy.1,229.6,228.6,262.2,13355,22349,20341
RAD23A,uc002mvw.1,141.1,113.8,130.6,3232,4447,4073
SDF2L1,uc002zvf.2,28.4,25.8,29.5,392,623,555
ARPC1A,uc003upx.1,188.1,137.3,157.4,1922,2507,2247
FAM131A,uc003fog.2,22.5,16.6,19,477,603,547
C19orf70,uc002mch.1,134.1,135.9,155.8,913,1641,1443
EPC2,uc010zbt.1,16.1,19.6,22.4,879,1763,1569
CFL1,uc001ofs.2,3184.5,2442.6,2799.2,10066,13947,12557
LDHB,uc001rfe.2,1468.9,1733.5,1986.5,12345,25881,22572
TOMM5,uc011lql.1,80.7,96.4,110.5,425,894,795
AHCY,uc002xai.2,245.5,199.8,228.9,4763,6998,6221
DCAF4,uc001xng.2,12.8,13.1,15,409,698,639
ABI2,uc002uzz.2,61.8,48.1,55.1,1966,2482,2256
FADS1,uc010rlm.1,70.4,54.6,62.6,2297,2989,2689
WDR12,uc002uzl.2,33.7,46.6,53.3,820,1952,1733
SPAG9,uc002itc.2,54.6,54.3,62.1,4795,7950,7132
SNX30,uc004bgj.3,7.2,6.2,7.1,209,293,267
WBP2,uc002jps.2,127.8,105.6,120.9,2135,3049,2677
LSM1,uc003xkw.2,120.3,193.5,221.5,941,2621,2279
UBE2E1,uc003cch.2,135.2,178.4,204.2,1701,3781,3290
THY1,uc001pwr.2,261,307.1,351.5,2706,5274,4765
GMPS,uc003faq.2,47.6,60.4,69.2,2092,4318,3871
ZNF428,uc002oxa.2,88.2,62,70.9,1034,1238,1124
TBC1D20,uc002wds.2,40.6,35.4,40.5,1059,1614,1406
MRPS14,uc001gkk.2,78.5,108.4,124.1,637,1490,1323
FAM70B,uc001vuh.2,20.2,15.2,17.4,422,557,486
TAPBPL,uc001qog.3,7,4.7,5.4,215,245,218
ELOVL1,uc001cjb.2,142.2,134.6,154,2534,4149,3675
SRP68,uc002jqk.1,67.1,73.7,84.3,2691,4996,4453
RAC3,uc002kdf.2,39.3,34.9,39.9,470,704,643
none,uc002hio.1,11.6,8.7,9.9,274,346,309
EBPL,uc001vdg.2,64.4,59.9,68.5,557,953,830
C1orf53,uc001guh.2,11.7,16.6,19,110,252,231
ARL8A,uc001gxk.1,73.3,63.9,73,874,1293,1148
C5orf51,uc003jmo.2,11,12.4,14.2,219,412,358
COX7A2,uc003phv.1,436,486.7,556.2,1019,2092,1799
PRKCH,uc001xfn.2,4.4,4.6,5.2,197,354,310
UBE2K,uc003guu.3,94.8,128.7,147.1,1252,2834,2495
EIF2S1,uc001xjg.2,167.5,278.3,318,3452,9758,8589
C1orf122,uc001ccd.2,186.5,154.5,176.5,1146,1664,1496
POLR1C,uc003ovn.2,66.1,85.2,97.4,1479,3291,2895
C14orf2,uc001yoi.3,343.2,506.2,578.4,1169,2921,2561
TFRC,uc003fwa.3,106.1,148.6,169.8,5250,13117,11195
LRRC57,uc001zqc.2,11.1,8.7,9.9,168,228,201
NDUFA7,uc002mjm.1,169.2,193.4,220.9,1186,2336,2066
EPB41L4A-AS1,uc003kpq.1,153.8,102.5,117.1,1133,1298,1166
EPN1,uc002qlx.2,163.9,120.1,137.2,6726,8601,7782
TSPO,uc003bdo.2,426.9,390.8,446.3,2336,3744,3315
JOSD1,uc003awf.2,46.5,38.7,44.2,598,846,757
NME1-NME2,uc002itj.2,674.6,968.1,1105.6,6477,16343,14273
TSN,uc002tnl.2,114.1,139,158.7,1709,3435,3076
PCBP1,uc002sgf.2,296.9,281,320.8,5574,9096,8087
FAM55C,uc003dvn.2,15.5,16,18.3,572,990,883
LAMP1,uc001vtm.1,320.9,281,320.9,8612,12451,11410
DBI,uc002tlv.2,355.6,466.8,532.8,1459,3376,2919
SSBP1,uc003vwo.1,295.7,442.8,505.5,2418,6331,5522
FAM104A,uc002jjj.3,41.8,43.2,49.3,542,974,864
ACAA2,uc002ldw.3,26.2,25.3,28.8,569,942,828
KAT5,uc001ofk.2,53.1,45.6,52.1,1871,2711,2457
NCK2,uc002tdi.2,38.4,32.2,36.8,925,1287,1202
15-Sep,uc010osj.1,315.2,398,454.1,2437,5286,4630
ATP6V0A1,uc002hzs.2,24.3,17.7,20.2,1352,1633,1467
GPN1,uc010ymc.1,74.2,97.3,111,1926,4251,3706
RPS3,uc001owh.2,2359,2521.1,2875.2,6175,11733,10300
DHX37,uc001ugy.2,41.5,41.3,47.1,3091,5221,4739
ZNF653,uc002mrz.1,9.4,5.8,6.6,363,380,353
IFITM3,uc001lpa.2,61.3,47.9,54.6,210,290,253
G6PC3,uc002iex.2,97.9,97.3,110.9,2183,3793,3296
NDUFB2,uc003vwa.2,455.7,578.8,659.7,2996,6369,5689
ZNF131,uc003jnk.2,22.3,28.4,32.4,804,1739,1533
DNAJB6,uc003wnk.2,39.5,39.9,45.4,517,892,810
HIPK3,uc001mul.1,9.5,9.9,11.3,773,1347,1190
CTNNA1,uc003ldh.2,331.7,300.8,342.7,13600,21962,19257
MLEC,uc001tyy.1,118.1,115.2,131.3,2250,3670,3279
CCDC43,uc002ihc.2,35.6,33.7,38.4,512,802,732
KIAA1919,uc003puv.3,4.9,5.4,6.2,174,314,277
CTSC,uc001pck.3,553.3,859.7,979.2,16753,44468,39109
ZNF350,uc002pyd.2,6.8,6.8,7.7,237,393,349
IMP4,uc002tra.1,90.5,99.1,112.8,1657,3134,2810
ZNHIT1,uc003uye.2,280.5,258.8,294.6,2576,4160,3682
FDX1,uc001pkx.2,51.5,52.4,59.7,413,757,662
PPIF,uc001kai.2,247.5,275.3,313.4,3248,6180,5498
SAMD1,uc010xnl.1,24.3,19.3,21.9,669,896,813
HNRNPA0,uc003lbt.2,377.9,349.9,398.3,7379,11332,10387
GLI3,uc011kbh.1,3.5,3,3.5,365,529,475
MLX,uc002iag.2,44.8,50.2,57.1,821,1635,1428
FAM118A,uc003bga.3,9.2,8.1,9.2,214,320,283
ZCRB1,uc001rmz.2,79.5,77.8,88.5,769,1329,1157
USP7,uc002czl.2,66.4,72.2,82.1,4340,7897,7037
HINT1,uc003kve.3,1443.1,1598.7,1818.8,4696,9330,8055
PPP2R1A,uc002pyp.2,257.1,230.5,262.2,9718,14897,13342
STX10,uc010xnb.1,116.7,81.7,92.9,1845,2198,1965
BCL7C,uc002dzv.2,218.9,234.7,267,2945,5474,4839
PTGFRN,uc001egv.1,6.3,4.2,4.7,385,391,362
STXBP1,uc004brk.2,31.6,24.4,27.8,1234,1627,1448
C15orf40,uc010uor.1,16.4,16.8,19.1,171,291,261
SYPL1,uc003vdp.2,147.5,202.5,230.2,2434,5672,4905
GMEB2,uc002yfq.1,19.3,14.4,16.3,652,845,748
MRPL1,uc003hku.2,57.3,122.2,138.9,1264,4498,3870
5-Mar,uc001khx.1,92.5,105.4,119.9,1711,3201,2851
FAM54B,uc001bkq.3,41.1,32.7,37.2,768,1031,929
IL1RAP,uc003fsm.1,18.5,19.3,21.9,707,1247,1080
CCND3,uc003orn.2,34.9,40.4,45.9,629,1274,1132
HSD17B12,uc001mxq.3,83.1,85.5,97.1,1475,2600,2294
SPRYD4,uc001sli.3,41.4,42.1,47.9,540,948,840
CCNJL,uc003lyb.1,10.5,8,9,292,382,339
ADRM1,uc002yco.2,268.1,305.3,346.9,6890,13810,12161
PPP1R13B,uc001yof.1,6.8,8.4,9.5,495,1031,900
C17orf76-AS1,uc002gqc.2,1000,872.7,991.7,8072,12077,10717
DCP1B,uc001qjx.1,16.2,14.9,17,663,1035,905
UBE2D1,uc001jke.1,19.1,29.5,33.5,186,465,412
COMMD7,uc002wya.3,159.2,181.8,206.5,2066,3950,3501
MKI67IP,uc002tnk.2,45.6,50,56.8,592,1170,1014
GRPEL2,uc003lqj.2,15.2,15.1,17.1,198,354,307
TCEAL8,uc004ejy.2,138.4,163.9,186.2,1046,2091,1806
CREB3L1,uc001ncf.2,94.8,87.5,99.4,3244,4940,4447
TMEM85,uc001zhq.2,168.2,182.7,207.5,1939,3697,3210
KLHL36,uc002fig.2,39.4,26,29.5,1562,1776,1571
ACOT8,uc002xqa.1,50.4,51.8,58.8,1036,1841,1609
WDR47,uc001dwl.2,11.1,13.8,15.6,698,1451,1259
DUSP12,uc001gbo.2,80.1,99.3,112.7,1736,3794,3271
none,uc002szp.3,4.2,5.2,5.9,105,216,188
CWC15,uc001pfd.3,204.5,281.4,319.4,3034,6983,6196
VPS26A,uc001jpb.2,95,108.9,123.6,1544,3063,2664
LYAR,uc003ght.2,42.9,65.4,74.3,1054,2692,2421
ZNF207,uc002hhj.3,123.6,143.2,162.5,3124,6127,5453
C15orf61,uc002aqs.2,19.1,22.7,25.8,192,396,340
SMC5,uc004ahr.2,29.7,28.7,32.6,2177,3426,3064
EIF2AK2,uc010fac.2,21.1,24.9,28.3,800,1523,1349
F11R,uc009wtt.2,17.5,13.3,15.1,360,436,386
HHIP,uc003ijs.1,47.5,49.4,56,2197,3791,3399
NUDC,uc001bng.1,102,71.2,80.7,1185,1493,1338
TXLNA,uc001bui.2,43.8,36.3,41.2,1568,2146,1944
GNB1,uc001aif.2,343.5,361.8,410.4,7168,12724,11406
DIS3,uc001vix.3,45.4,63.7,72.3,2959,6870,6014
IER3IP1,uc002lcu.2,145.2,167.2,189.7,633,1254,1116
MRPL32,uc003tia.2,121.3,166.2,188.6,1046,2550,2198
NDUFB6,uc003zre.1,245,301.1,341.6,1888,3894,3492
MYEOV2,uc002vyu.1,57.5,61.8,70.1,891,1669,1478
EDC3,uc002aym.2,36.6,38.7,43.9,1225,2179,1927
CALD1,uc003vrz.2,94.1,85.5,96.9,4850,7254,6653
TAF8,uc003ors.2,8.2,7.4,8.4,164,245,222
C11orf63,uc001pym.2,3.2,2.5,2.9,169,213,195
OPTN,uc001ilx.1,38.3,28.4,32.2,1471,1824,1602
MAPK9,uc010jlc.2,28.9,34.8,39.4,817,1630,1429
SLC16A1,uc001ecy.2,90.2,113.6,128.8,2929,6301,5505
CD164,uc003pte.2,219.4,280.1,317.5,2786,6021,5237
SRFBP1,uc003kst.1,27,43.6,49.4,783,2094,1824
